Item_Identifier,Item_Weight,Item_Type,Item_MRP,Fat_Content,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,1,249.8092,1,1,3735.138
DRC01,5.92,2,48.2692,1,2,443.4228
FDN15,17.5,3,141.618,1,1,2097.27
FDX07,19.2,4,182.095,,4,732.38
NCD19,8.93,5,53.8614,2,1,994.7052
FDP36,10.395,6,51.4008,1,2,556.6088
FDO10,13.65,7,57.6588,2,1,343.5528
FDP10,,7,107.7622,1,3,4022.7636
FDH17,16.2,8,96.9726,,1,1076.5986
FDU28,19.2,8,187.8214,,1,4710.535
FDY07,11.8,4,45.5402,1,1,1516.0266
FDA03,18.5,1,144.1102,3,1,2187.153
FDX32,15.1,4,145.4786,1,1,1589.2646
FDS46,17.6,7,119.6782,3,1,2145.2076
FDF32,16.35,4,196.4426,2,1,1977.426
FDP49,9,9,56.3614,3,1,1547.3192
NCB42,11.8,13,115.3492,1,2,1621.8888
FDP49,9,9,54.3614,1,1,718.3982
DRI11,,10,113.2834,1,3,2303.668
FDU02,13.35,1,230.5352,3,1,2748.4224
FDN22,18.85,7,250.8724,2,1,3775.086
FDW12,,6,144.5444,1,3,4064.0432
NCB30,14.6,5,196.5084,3,1,1587.2672
FDC37,,6,107.6938,3,4,214.3876
FDR28,13.85,8,165.021,3,1,4078.025
NCD06,13,5,45.906,,1,838.908
FDV10,7.645,7,42.3112,3,1,1065.28
DRJ59,11.65,10,39.1164,2,1,308.9312
FDE51,5.925,1,45.5086,,4,178.4344
FDC14,,11,43.6454,3,4,125.8362
FDV38,19.25,1,55.7956,,4,163.7868
NCS17,18.6,13,96.4436,1,2,2741.7644
FDP33,18.7,7,256.6672,1,2,3068.0064
FDO23,17.85,12,93.1436,,1,2174.5028
DRH01,17.5,2,174.8738,3,1,2085.2856
NCX29,10,13,146.7102,1,1,3791.0652
FDV20,,4,128.0678,1,3,2797.6916
DRZ11,8.85,2,122.5388,1,2,1609.9044
FDX10,,7,36.9874,1,3,388.1614
FDB34,,7,87.6198,1,3,2180.495
FDU02,13.35,1,230.6352,3,1,3435.528
FDK43,9.8,3,126.002,2,1,2150.534
FDA46,13.6,7,192.9136,1,1,2527.3768
FDC02,21.35,11,259.9278,1,2,6768.5228
FDL50,12.15,11,126.5046,2,1,373.5138
FDM39,6.42,1,178.1002,,4,358.2004
NCP05,19.6,13,153.3024,,1,2428.8384
FDV49,10,11,265.2226,,1,5815.0972
FDL12,15.85,6,60.622,3,1,2576.646
FDS02,,1,196.8794,3,4,780.3176
NCL17,7.39,13,143.8812,3,1,3134.5864
FDM40,10.195,8,141.5154,2,1,850.8924
FDR13,9.895,11,117.0492,2,1,810.9444
FDA43,10.895,4,196.3794,,1,3121.2704
NCP18,12.15,5,151.4708,,1,4815.0656
FDK21,7.905,7,249.0408,1,2,6258.52
NCX54,9.195,5,106.1622,,1,2117.244
DRK35,8.365,10,38.0506,1,1,796.9626
FDY21,15.1,7,194.511,3,1,4910.275
FDI26,,11,180.0344,3,4,892.172
FDM20,10,4,246.9144,1,2,3185.1872
